Type,Tag,ID,Description
theme,Gang,X0S2qdOkxLC6NLACXUfcX,"In these manga, a group of individuals have joined forces to commit crimes or cause mayhem. They might be Delinquents in a school gang, members of the Bosozoku (biker gangs), or hardened criminals in a crime syndicate like the Mafia or Yakuza."
theme,Gender Bender,YIqFDJLpT3zQVSgIpEyIQ,"A character in these manga undergoes a complete or partial physical sex change, whether due to environmental aspects, an enchanted item, a wish that's been granted or a number of other factors. Depending on the situation, the character might be stuck in their new body, or changed back automatically at some point, or have the ability to change back and forth at will. If a man and woman suddenly share the same body, the Gender Bender tag applies as well."
theme,Gender Identity,XX0P0crLfl3-l52lQYZsN,"These manga feature characters facing challenges regarding their gender identity, whether they are choosing to openly explore their gender or are struggling with gender roles being forced on them against their will. These manga often focus on transgender, non-binary, or intersex characters, as well as LGBT Themes."
theme,God-Human Relationship,hY2y3n8YySuiXAFINYcmF,"These manga focus on romantic or sexual relationships between humans and Gods. They may meet by chance and fall in love, or the relationship may be the result of something more sinister, such as the human being offered as a sacrifice to appease the god."
theme,Gods,Gj_KzWOeMvjnZNHNfq8Pd,"These manga feature deities - gods or goddesses - as main characters. The gods may be based on a form of mythology such as Greek or Norse, or they may be fictional deities. Manga with gods may focus on a God-Human Relationship."
theme,Harem,jkQBBbwy2IeVmEBTDuGOz,"A harem includes three or more characters who potentially show romantic interest in a male protagonist. The sex, gender, or orientation of the harem members is irrelevant as long as they exclusively, or at least primarily, are vying for the affections of the same individual - who may or may not reciprocate towards one, several, or none of these romantic rivals."
theme,Hell,tfR9cQh0fkhhBK0auGLNF,"These manga fully or mostly take place in Hell. Demons, fiery landscapes and the Devil are commonplace in these titles."
theme,High Stakes Game,7hPktTeeyL3reX1y3wHHA,"Characters in these stories play a 'game' with serious consequences. Fame, fortune, power, life: any or all of these may be won or lost according to the rules of competition. The stakes and the rules may be agreed upon by parties involved, or imposed on them by an external force; either way, not following them will usually have severe consequences for the transgressor. Those who take part in the game will generally be forced to play until they win... or lose."
theme,Historical,SK5mSCQwvvLLwA7VDBq2Y,"The setting of a historical manga takes place at some point in Earth's past. The level of dedication to portraying the lifestyles, societies, and technologies of past periods and peoples accurately or believably can vary greatly between different works."
genre,Horror,Ip6UHg3N2ky6E7yGlbE_u,"Horror manga create an atmosphere of unease. Like Mystery manga, they encourage viewers to learn more about their world... but there may be secrets that are better left unexplored. Through eerie music and sounds, visceral or disturbing imagery, or startling moments, works of Horror make you worry about what gruesome thing is coming next."
theme,Human Experimentation,AOG5UdnfaYxCJAxSNGQum,"Characters in these manga are the result of human experimentation. They have been biologically, chemically, or genetically altered through experiments, and may have Superpowers, Psychic Powers, or other innate abilities or characteristics due to the experimentation."
theme,Human Livestock,0vx0v_Fs5jno7STV2Z1x8,"Humans in these manga are kept as livestock for practical reasons such as for food or organ harvesting. They may be kept by another species, or by fellow humans who have judged them to be inferior."
theme,Human Pet,CzgfJAJ5_N_79VlfEggjC,"These manga feature humans who are treated as pets. They may be kept as pets by another species, such as Aliens, Demons, or Anthropomorphic beast people, or they might pretend to be Cats, Dogs, or other common animals while living with another human. Some \\""pets\\"" may wear animal collars, walk on leashes, or be kept in cages. Human pets may treated like pampered companions, or they might suffer various forms of mistreatment at the hands of their \\""masters\\"", some of whom keep them for sexual purposes."
theme,Idol,Aee4AUoCIPy0rPIBVQsys,"Idols are heavily promoted multimedia stars. In Japan, they are adored by the masses and frequently perform at concerts or events; however, the idol industry is both competitive and harsh, and many involved have short-lived careers. These manga showcase all there is about the profession, from training, to being scouted by talent agents, to management and production."
theme,Illness,65l2Qa2S68MIO77-PIXYQ,"These manga feature characters who struggle with a debilitating health condition, whether they're diagnosed with a terminal illness or a lifelong condition that impacts their way of life. Some illnesses may stem from a physical Disability. This tag doesn't include Mental Illness. "
theme,Impersonation,UkT0KqLdo8U_djXQc3om1,"Characters in these manga are impersonating someone. They may be twins who switch places, someone serving as a body-double for a celebrity or other person of importance, or a person pretending to be a deceased relative or friend. Not to be confused with Secret Identity, which defines characters who live a double life."
theme,Incubus,Pu2bXuldEDoYI4v6tFjo5,"These manga feature an incubus: a Demon or spirit in male form that engages in sexual intercourse to feed off the energy of its partner. In traditional folklore, incubi would visit women in their sleep, but modern renditions of these creatures can have them pursuing people of either sex, whether they are asleep or awake."
theme,Cheating,AfPgKvwegC5cejikesaLM,"In these manga, infidelity is an important aspect of the story. Characters may be dealing with an unfaithful partner, or having an affair with someone else. Their actions may result in a Divorce or unplanned Pregnancy."
theme,Insect,IJ4qUnajFecxlSIa_P8m9,"Insects are the primary component of these manga, whether they're giant, man-eating monsters or household pests of another variety."
theme,Interspecies Relationship,No8wc-ACd3otwOc6HFQeW,"These manga focus on romantic or sexual relationships between beings of two different species, such as Gods, Vampires, Robots, Demons, or others. The characters might be humans who are in a romantic relationship with a non-human, or non-human beings who fall in love with each other, such as an angel and a demon, an elf and a werewolf, or different kinds of animals. See also: God-Human Relationship."
genre,Isekai,MdCG9wlminLBwLjHYtGis,"Isekai is a fantasy genre where a person from Earth is transported to, reborn, or trapped in a parallel universe or fantasy world. For beings from other worlds visiting Earth, see Reverse Isekai."
